NL0014559478;06/04/22;11.00;11.12;10.845;10.98;621314
FR0000051807;06/04/22;348.20;351.90;329.70;332.90;188364
FR0000054900;06/04/22;8.58;8.645;8.31;8.40;271747
FR0013230612;06/04/22;25.10;25.20;24.15;24.35;12523
FR0004188670;06/04/22;13.10;13.14;12.80;13.04;5650
FR0005691656;06/04/22;127.20;128.70;122.60;124.20;32903
FR0000120271;06/04/22;45.76;46.23;45.285;45.65;6068545
FR0000054470;06/04/22;42.25;42.56;39.88;39.94;470524
FR0013326246;06/04/22;68.30;69.37;66.54;67.08;754345
FR0000031775;06/04/22;29.95;30.30;28.95;29.55;69259
FR0004186856;06/04/22;139.40;140.80;137.00;139.60;3764
FR0000124141;06/04/22;28.14;28.52;27.05;27.83;2768317
FR0000031577;06/04/22;372.00;374.50;363.50;370.50;5964
FR0000127771;06/04/22;11.81;11.93;11.60;11.64;3371242
FR0013506730;06/04/22;11.45;11.45;11.115;11.215;843222
FR0004056851;06/04/22;16.20;16.395;15.81;16.05;375904
FR0011995588;06/04/22;19.72;19.72;18.78;19.00;30203
FR0013447729;06/04/22;22.16;22.28;21.74;21.90;124160
FR0013357621;06/04/22;43.90;44.60;43.40;44.40;19891
FR0011981968;06/04/22;39.05;39.17;37.13;37.69;914973
BE0974310428;06/04/22;6.55;6.58;6.12;6.21;317254
FR0000060402;07/04/22;43.76;44.78;42.88;42.94;51185
FR0000120404;07/04/22;27.29;27.61;26.84;26.98;688150
FR0000045072;07/04/22;10.10;10.176;9.887;9.887;10729335
FR0010340141;07/04/22;126.50;127.95;125.05;127.05;109533
FR0000031122;07/04/22;3.92;4.086;3.92;3.949;2956314
FR0000120073;07/04/22;160.82;163.12;160.06;160.24;722073
NL0000235190;07/04/22;104.14;105.32;101.72;101.98;1505381
FR0004180537;07/04/22;49.10;49.10;48.90;49.00;7328
FR0010313833;07/04/22;108.00;108.70;106.45;106.70;139853
FR0013258662;07/04/22;11.94;12.08;11.72;11.74;91395
FR0010220475;07/04/22;20.31;20.54;19.65;19.70;1904138
FR0000033219;07/04/22;144.60;146.60;144.20;144.80;4667
FR0014004L86;07/04/22;147.60;148.30;143.90;145.50;90926
FR0004125920;07/04/22;59.60;60.00;58.50;58.50;207947
FR0014005AL0;07/04/22;28.38;28.72;28.10;28.10;48256
LU0569974404;07/04/22;36.67;36.67;35.62;35.79;408363
FR0014003U94;07/04/22;6.60;6.61;6.40;6.445;124628
FR0000039216;07/04/22;650.00;650.00;650.00;650.00;1
FR0010481960;07/04/22;117.00;119.60;116.80;119.20;10045
FR0000076952;07/04/22;5000.00;5000.00;5000.00;5000.00;1
FR0000071946;07/04/22;131.40;133.70;129.50;129.90;23871
FR0000051732;07/04/22;22.98;23.20;21.95;22.02;1167141
MC0000031187;07/04/22;66.00;66.00;66.00;66.00;1
FR0004023208;07/04/22;66.40;66.40;64.80;66.40;472
FR0000120966;07/04/22;45.64;46.20;45.58;45.60;22274
FR0000035164;07/04/22;13.14;13.44;12.98;13.02;79901
FR0013280286;07/04/22;100.15;100.70;98.90;100.10;82863
FR0014003FE9;07/04/22;13.25;13.49;12.98;13.12;28640
FR0000120644;07/04/22;51.20;52.12;51.12;51.60;1764304
FR0000131104;07/04/22;47.315;47.65;46.53;46.56;5211726
FR0000039299;07/04/22;4.486;4.516;4.398;4.446;979384
FR0000061137;07/04/22;566.00;568.00;552.00;552.00;76
FR0006174348;07/04/22;25.18;25.39;24.97;25.02;632148
FR0000120172;07/04/22;19.40;19.85;19.39;19.775;3697090
FR0000125338;07/04/22;194.70;195.00;190.40;190.65;274958
FR0010828137;07/04/22;14.22;14.76;14.22;14.38;127908
FR0000130403;07/04/22;618.00;618.00;593.00;593.00;7046
FR0000120222;07/04/22;21.84;21.86;21.82;21.82;280343
NL0010949392;07/04/22;5.72;5.74;5.22;5.70;165
FR0000125585;07/04/22;15.72;16.41;15.66;15.90;306488
FR0010667147;07/04/22;10.70;10.82;10.48;10.56;375539
FR0000064578;07/04/22;70.30;71.80;69.25;69.80;154519
FR0000060303;07/04/22;15.55;15.55;14.85;15.35;10918
FR0000120628;07/04/22;25.845;26.015;25.44;25.485;5204224
FR0000053381;07/04/22;8.80;8.94;8.705;8.755;191404
FR0000077919;07/04/22;20.36;20.36;19.55;19.55;152012
FR0000125486;07/04/22;87.57;89.09;86.56;87.04;1727794
GB0002374006;07/04/22;48.00;48.00;47.80;47.80;60
FR0013154002;07/04/22;392.00;395.50;388.20;393.50;47821
FR0014003TT8;07/04/22;44.22;44.305;43.38;43.565;1087728
FR0010908533;07/04/22;46.18;47.57;46.18;46.70;945424
FR0010242511;07/04/22;8.32;8.656;8.316;8.44;5500071
FR0000121667;07/04/22;163.55;166.10;162.55;162.90;613796
FR0011950732;07/04/22;2.60;2.676;2.554;2.572;1777946
FR0012435121;07/04/22;12.45;12.71;12.34;12.40;398407
FR0000120503;07/04/22;30.44;31.03;30.38;30.44;1000682
FR0010208488;07/04/22;11.82;11.882;11.474;11.544;8518027
NL0006294274;07/04/22;84.48;85.44;83.60;84.28;164338
FR0000121147;07/04/22;22.60;23.25;22.26;22.65;1483610
FR0000131757;07/04/22;154.00;154.00;146.60;149.10;64678
FR0014000MR3;07/04/22;95.16;100.20;94.80;98.40;704955
FR0010221234;07/04/22;9.79;9.995;9.76;9.865;384045
FR0012789949;07/04/22;0.492;0.4942;0.492;0.492;1129814
FR0014005DA7;07/04/22;19.20;19.20;18.64;19.02;2771
FR0013451333;07/04/22;35.19;35.48;34.94;35.11;172200
FR0000130452;07/04/22;88.32;89.66;86.78;87.66;304779
FR0000050353;07/04/22;20.45;21.15;20.35;21.00;38383
FR0000033409;07/04/22;85.20;85.80;85.20;85.40;120
FR0011476928;07/04/22;45.90;46.86;45.60;46.50;94480
FR0013176526;07/04/22;16.50;16.99;16.365;16.42;1965314
FR0000044471;07/04/22;21.30;21.30;21.30;21.30;61
FR0010533075;07/04/22;16.275;16.60;16.235;16.305;1154437
FR0010040865;07/04/22;109.70;111.70;108.20;109.20;127769
FR0000130809;07/04/22;22.00;22.415;21.475;21.475;5763717
US3696043013;07/04/22;80.90;80.90;80.20;80.20;26
FR0011726835;07/04/22;107.20;111.40;106.90;110.10;254913
FR0000121329;07/04/22;117.05;118.00;116.25;118.00;466517
CH0012214059;07/04/22;41.60;42.30;41.60;41.75;41921
MA0000011488;07/04/22;12.15;12.50;12.15;12.35;666
FR0000035081;07/04/22;57.50;58.40;56.70;56.80;53468
FR0010929125;07/04/22;335.00;338.00;319.50;319.50;2535
FR0010259150;07/04/22;118.00;119.00;115.20;116.30;139838
FR0000073298;07/04/22;43.15;43.75;42.45;42.55;42178
FR0004024222;07/04/22;56.20;56.90;54.60;54.60;27485
FR0000121485;07/04/22;557.90;562.00;545.90;548.40;216330
FR0010386334;07/04/22;19.75;19.85;19.45;19.74;162154
FR0000121964;07/04/22;22.06;22.64;21.76;21.91;916705
FR0013204336;07/04/22;85.40;85.40;85.00;85.20;268
FR0010307819;07/04/22;82.22;83.28;80.84;83.22;915778
FR0000065484;07/04/22;43.60;44.20;42.85;43.00;15082
FR0000121014;07/04/22;641.40;645.70;623.20;624.00;481637
